title,img_url,tags,release_date,review_score,reviews_count,original_price,discount_price,currency
Baldur's Gate 3,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1086940/header.jpg?t=1725654125,"['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat']",2023-08-03,Overwhelmingly Positive,593402,59.99,47.99,€
The Binding of Isaac: Rebirth,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/250900/header.jpg?t=1722458438,"['Action Roguelike', 'Roguelike', 'Indie', 'Replay Value', 'Difficult']",2014-11-04,Overwhelmingly Positive,274756,14.99,7.49,€
Cyberpunk 2077,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1091500/header.jpg?t=1730212296,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer']",2020-12-10,Very Positive,689987,59.99,29.99,€
Enshrouded,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1203620/header.jpg?t=1730815298,"['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op']",2024-01-24,Very Positive,51063,29.99,23.99,€
Mirthwood,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2272900/header.jpg?t=1730914458,"['RPG', 'Farming Sim', 'Sandbox', 'Open World Survival Craft', 'Immersive Sim']",2024-11-06,Mostly Positive,97,24.50,22.05,€
Crusader Kings III,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1158310/header_alt_assets_6.jpg?t=1730740049,"['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG']",2020-09-01,Very Positive,74359,49.99,14.99,€
NBA 2K25,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2878980/header.jpg?t=1730136287,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D']",2024-10-28,Mixed,6711,79.99,39.99,€
Teenage Mutant Ninja Turtles: Splintered Fate,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2996040/header.jpg?t=1730909288,"['Action Roguelike', 'Co-op', 'Adventure', 'Action', 'Multiplayer']",2024-11-06,Positive,31,27.99,25.19,€
The Last of Us™ Part I,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1888930/header.jpg?t=1728603021,"['Story Rich', 'Shooter', 'Post-apocalyptic', 'Action-Adventure', 'Horror']",2023-03-28,Mostly Positive,34569,59.99,35.99,€
Resident Evil 4,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2050650/header.jpg?t=1730246738,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies']",2023-03-24,Overwhelmingly Positive,96105,39.99,19.99,€
Cyberpunk 2077: Phantom Liberty,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2138330/header.jpg?t=1730212614,"['RPG', 'Sexual Content', 'Open World', 'Cyberpunk', 'Story Rich']",2023-09-26,Very Positive,16196,29.99,23.99,€
Stellaris,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/281990/header_alt_assets_5.jpg?t=1730707831,"['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X']",2016-05-09,Very Positive,120401,39.99,9.99,€
